seed,seed_index,scenario,max_delay,policy,block,selected_num_agents,selected_eta,block_spent,probe_cost,observable_state_proxy,decision_state_proxy,true_error_magnitude,estimated_rho_global,estimated_rho_cluster,estimated_rho_idiosyncratic,true_rho_global,true_rho_cluster,num_agents,eta,proxy_risk,lrv_used,predicted_exploitation_updates
20260730,0,independent,4,state_correlation_adaptive,0,4,0.011387886347566916,2000,96,0.5169041610641385,0.5169041610641385,0.21729533422973785,0.013810984061349939,0.11583677547380372,0.8703522404648464,0.0,0.0,4.0,0.011387886347566916,0.0065148864750564925,0.9415919114105138,238.0
20260730,0,independent,4,state_correlation_adaptive,1,1,0.0025,1996,96,0.11566397937732345,0.11566397937732345,0.050039653652525,0.12383458678769622,0.0,0.8761654132123039,0.0,0.0,1.0,0.0025,0.006686875360714517,4.405159406039351,380.0
20260730,0,independent,4,state_correlation_adaptive,2,2,0.0025,1998,96,0.09986907227598955,0.09986907227598955,0.0022572359907264763,0.08185296355380375,0.0,0.9181470364461962,0.0,0.0,2.0,0.0025,0.004995741076957607,2.9688379399496805,317.0
20260730,0,independent,4,state_correlation_adaptive,3,1,0.0031046445301837096,1996,96,0.17647537723177104,0.17647537723177104,0.0389621695970182,0.08512429976980912,0.0,0.9148757002301909,0.0,0.0,1.0,0.0031046445301837096,0.007856405695370078,3.4970160725997204,380.0
20260730,0,independent,4,state_correlation_adaptive,4,2,0.007384130729697496,1998,96,0.49665199666020865,0.49665199666020865,0.007153731984947514,0.0379480861723549,0.0,0.9620519138276451,0.0,0.0,2.0,0.007384130729697496,0.008777248757132209,1.7786817934497139,317.0
20260730,0,independent,4,state_correlation_adaptive,5,32,0.0025,1968,96,0.04374529640236455,0.04374529640236455,0.026895266243632955,0.04085308044508496,0.041650551353177086,0.9174963682017381,0.0,0.0,32.0,0.0025,0.001963078343468107,1.6952896348151598,52.0
20260730,0,independent,4,state_correlation_adaptive,6,2,0.0047880164034928676,1998,96,0.16722301380244678,0.16722301380244678,0.04976647176187689,0.020978447299321263,0.03582540981433964,0.9431961428863391,0.0,0.0,2.0,0.0047880164034928676,0.0044758263868523804,1.374903761126848,317.0
20260730,0,independent,4,state_correlation_adaptive,7,4,0.005946035575013605,2000,96,0.13458970099345757,0.13458970099345757,0.007630368886909881,0.014704667605573794,0.06305569792340807,0.9222396344710181,0.0,0.0,4.0,0.005946035575013605,0.0036593838695899794,0.9260104417871413,238.0
20260730,0,independent,4,correlation_only_adaptive,0,4,0.009170040432046712,2000,96,0.5169041610641385,0.3,0.21729533422973785,0.013810984061349939,0.11583677547380372,0.8703522404648464,0.0,0.0,4.0,0.009170040432046712,0.005404629854672806,0.9415919114105138,238.0
20260730,0,independent,4,correlation_only_adaptive,1,1,0.0047880164034928676,1996,96,0.1120878595005393,0.3,0.05330150535509515,0.12287230141422625,0.0,0.8771276985857738,0.0,0.0,1.0,0.0047880164034928676,0.012587868236125007,4.382584191177745,380.0
20260730,0,independent,4,correlation_only_adaptive,2,1,0.0047880164034928676,1996,96,0.06317879878322602,0.3,0.03572318097682063,0.0834799923163678,0.0,0.9165200076836322,0.0,0.0,1.0,0.0047880164034928676,0.010427929331239075,3.4584406197419866,380.0
20260730,0,independent,4,correlation_only_adaptive,3,2,0.005946035575013605,1998,96,0.09628065215295357,0.3,0.013267772770544894,0.047301914800936845,0.0,0.9526980851990631,0.0,0.0,2.0,0.005946035575013605,0.00797365669678542,2.0322417006758293,317.0
20260730,0,independent,4,correlation_only_adaptive,4,2,0.007384130729697496,1998,96,0.5171460184488251,0.3,0.01153928227827196,0.030813437704763018,0.0,0.9691865622952369,0.0,0.0,2.0,0.007384130729697496,0.0066406202650092765,1.5852785491347916,317.0
20260730,0,independent,4,correlation_only_adaptive,5,2,0.007384130729697496,1998,96,0.04540901808289574,0.3,0.025377751847240965,0.031714877667314,0.0,0.9682851223326859,0.0,0.0,2.0,0.007384130729697496,0.006730348953832758,1.609714429066985,317.0
20260730,0,independent,4,correlation_only_adaptive,6,2,0.007384130729697496,1998,96,0.05719937524596376,0.3,0.037258446886562116,0.03132571355896874,0.0,0.9686742864410312,0.0,0.0,2.0,0.007384130729697496,0.0066916118369645845,1.5991651214918772,317.0
20260730,0,independent,4,correlation_only_adaptive,7,2,0.005946035575013605,1998,96,0.06659270947729679,0.3,0.04021505541320258,0.03890292345042588,0.0,0.961097076549574,0.0,0.0,2.0,0.005946035575013605,0.007310230204228494,1.8045651468077086,317.0
20260730,0,independent,4,state_oracle,0,32,0.05187358218604038,1980,0,,,0.3,0.0,0.0,1.0,0.0,0.0,32.0,0.05187358218604038,0.0014912385713762,0.04687499999999999,55.0
20260730,0,independent,4,state_oracle,1,32,0.007384130729697496,1980,0,,,0.02162385545000253,0.0,0.0,1.0,0.0,0.0,32.0,0.007384130729697496,0.0003011626115399829,0.04687499999999999,55.0
20260730,0,independent,4,state_oracle,2,32,0.0025,1980,0,,,0.0045747910946676755,0.0,0.0,1.0,0.0,0.0,32.0,0.0025,3.0179909196171187e-05,0.04687499999999999,55.0
20260730,0,independent,4,state_oracle,3,32,0.0025,1980,0,,,0.0004436564141419371,0.0,0.0,1.0,0.0,0.0,32.0,0.0025,1.43569093413777e-05,0.04687499999999999,55.0
